Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Washington,Arizona,3,5.16,-0.29,4,,2.15,4,4.1,3.68,3,-2.41,5.2,5.62,-10.47,3.32,-6.11,-1,-7,-3,-7,-7,3,3,,3,6.7,3.66,4.37,6.89,3,-2,,,,,5.8,-2.6,5,,,-4.5,,2.94,3,1,3,3,1.1,4.4,3.37,1.99,,1.9,4.4,1.9,3,10.92,,-2.4,4.9,0.8,3,7.5,5.5,5.68,4.89,4.36,3.826920152,3,24,17
Carolina,Atlanta,7,8.05,1.72,4,1.71,4.45,8,9.56,1.68,9,1.19,9.99,2.65,-3.96,9.32,4.75,3,6.73,,-3.43,7,8,7,,6,8.6,7.57,8.15,7.64,7.5,-10,,10.3,,,9.8,4.9,3,,,10.17,,-3.82,5,5,7.4,4,-6,9.5,0.77,3.62,,-4.3,8.6,4.3,15,10.8,,5.1,-5,7.3,7,1.2,,11.77,10.67,7.29,4.2250660296,4,24,9
Chicago,Philadelphia,-3,-0.44,-6.07,-0.25,-6.66,-2.49,-3,-0.01,-5.68,-10,-0.11,0.35,-5.03,-3.27,-2.05,2.78,-4,-3.19,,-0.71,3.6,-1,-3,,-1,-0.67,-0.45,0.39,-5.62,-2,-5,,1.3,,,0.14,-2.1,-6,,,-7,,-4.35,-2.05,-7.4,-3.1,-4,-7,0.1,0.29,0.09,,-5.9,-3.8,1.6,-10,-2.89,,-1.3,-3.7,0.6,-3,-1.2,,-2.51,-1.26,-1.84,2.7724777645,4,24,20
Cincinnati,Cleveland,3,6.41,1.18,4,4.24,3.5,2,0.74,2.17,4,4.6,5.55,-5.69,6.66,7.1,3.32,4,0.64,,1.29,13.29,3,3,,-2,5.29,7.43,2.03,4.51,3,1,,8.3,,,1.9,4.1,6,,,-1.05,,1.92,3.4,2.6,2.8,5,7.33,8.9,4.27,5.88,,1,3.4,1.6,3,6.58,,6.1,6.9,2.5,1,3.3,,1.49,1.11,-2.63,2.9777530552,4,12,20
Dallas,Washington,11,10.18,7.19,8,13.07,9.4,10,9.36,8.52,3,6.71,15.31,6.56,9.03,10.84,8.59,10,10.97,,7,7,10,11,,4,9.94,10.48,6.77,11.99,10.5,9,,7.4,,,7.76,8.5,5,,,10.04,,11.67,9.86,10.5,8.5,9,13,10.1,5.84,7.11,,1,6.2,14.2,13,9.86,,10.5,12.3,10.2,9.5,7.3,,8.23,8.8,11.01,2.7318561927,4,24,26
Jacksonville,Houston,7,10.68,15.38,6,14.94,9.83,11,10.06,16.05,17,3.06,10.01,14.26,11.45,8.86,4.57,10,9.91,,6.48,6.59,11,7.5,,3,10.64,10.81,7.24,9.8,7,15,,15.7,,,9.67,6.6,10,,,2.05,,7.53,10,12.2,7.2,7,20,8.9,7.76,9.7,,12.1,10.8,5.4,15,17.05,,14.6,5,8.3,4.5,4.7,,10.23,10.14,6.34,3.7639025877,4,30,27
Kansas City,Denver,-9.5,-10.07,-5.9,-9,-9.33,-11.24,-9,-10.85,-21.5,-11,-8.3,-4.45,-19.37,-13.84,-18.23,-9.59,-12,-7,,-0.38,-7,-11,-9.5,,-6.5,-10.43,-10.07,-8.6,-21.81,-9.5,-24,,-27.2,,,-7.39,-11.1,-13,,,-7,,-8.05,-9.59,-24.9,-14.8,-4,-22.3,-15.7,-4.08,-1.71,,1.7,-7.5,-3.2,-14,-36.21,,-20.7,-14.2,-5.6,-8,-9,,-19.51,-15.18,-6.99,6.794653201,4,33,19
N.Y. Jets,Arizona,1,0.37,-8,-0.25,-1.81,-3.14,2,-1.01,-10.22,-2,-2.37,3.48,-4.57,-9.25,-7.73,-4.57,-4,-11.93,,-7,-7,1,0.5,,1,2.19,-1.45,-1.65,-3.13,1.5,-5,,-16.1,,,0.41,-1.6,2,,,-8.37,,0.78,-2.1,-10.7,-6.2,2,-12.3,-4.1,-1.2,1.45,,0.01,-2.3,-2.9,3,-20.23,,-9.6,-2.1,-0.7,1,-5.1,,-4.76,-2.88,3.95,4.882224794,4,56,35
New Orleans,San Francisco,4.5,7.64,-4.01,4,7.11,4.44,8,8.18,3.77,-3,3.93,10.59,4.52,-0.4,12.31,4.3,3,-9.48,,-11.9,-9.61,10,4.5,,7,7.62,7.8,4.47,6.43,6,-7,,12.1,,,9.87,3.8,3,,,-9.13,,5.77,4.52,9.6,7.8,7,-1.7,8.7,1.92,5.25,,2.1,0.9,4.3,0.3,14.23,,11.1,1.8,4.7,6.5,1.4,,0.7,4.44,5.48,3.8926888785,4,31,17
Oakland,San Diego,-7.5,-4.34,-2.71,-5,-13.99,-5.13,-6,-9.36,-9.1,-1,-2.8,-10,-5.4,-3.25,-3.14,-0.54,-6,-6.39,,7,2.62,-12,-7.5,,-3.5,-5.2,-3.85,-6.57,-2.46,-7,-9,,-4,,,-10.64,-3.3,-7,,,-7,,4.69,-5.2,-9.3,-4.3,-4,-6.6,-7.3,0.31,-1.94,,-6,-4.4,-10.1,-8,-9.83,,-7,-3.3,-3.5,-8,-9.4,,-11.68,-10.52,5.85,3.0824412305,4,18,28
Pittsburgh,Baltimore,5,5.7,6.43,3,12.88,4.89,8,8.02,0.76,6,1.29,11.63,2.49,-2.1,6.96,3.33,4,7,,7,7,10,5,,3.5,6.27,5.13,7.82,6.7,7,-1,,-5.8,,,9.89,5.1,4,,,7,,8.42,5.7,0.1,5.3,8,-4.2,7,1.21,6.05,,5.4,10.3,2.8,10,-6.31,,7.2,3,9,6.5,-0.5,,6.61,7.31,3.57,4.1952427965,4,23,20
St. Louis,Buffalo,-8,-11.2,-5.32,-8,-13.7,-11.87,-6,-16.27,-19.59,-7,-7.56,-3.92,-14.75,-18.06,-20.21,-19.57,-17,-7,,-7,-7,-11,-8,,-4.5,-10.58,-13.56,-8.92,-11.4,-9.5,-33,,-15.9,,,-13.22,-14.6,-10,,,-7,,3.18,-11,-24.1,-11,-4,-35.7,-19.4,-7.73,-6.7,,1.5,-9.8,-10.4,-15,-27.53,,-27.8,-11.6,-6.7,-11,-11.5,,-15.34,-15.8,-6.16,7.5161713285,4,14,31
Tampa Bay,Green Bay,1.5,1.64,-3.16,0.25,0.52,0.95,3,-1.77,1.36,-3,0.59,-2.58,0.72,3.08,5.78,0.6,1,3.57,,12.72,7.67,0.01,1.5,,0.5,-0.1,3.47,-1.89,-0.49,1.5,-2,,7.6,,,-2.7,2.4,4,,,-8.45,,-9.11,0.6,4.5,3.2,6,2,-0.3,2.79,-0.26,,-4,1.4,-2.3,-6,4.22,,9.9,-3.8,3,-1,1,,-4.2,-2.98,-2.75,3.0793310531,4,30,21
Tennessee,Minnesota,3,8.53,2.47,7,5.46,7.47,3,6.65,5.23,4,10.52,6.93,2.77,14.03,8.79,12.12,9,1.46,,10.86,7,5,4,,-0.5,9.28,7.81,8.9,9.36,3,14,,12.1,,,5.3,8,7,,,5.8,,2.44,7.91,6.8,8.2,6,16.6,10.2,6.71,5.93,,-2.5,10.6,3.1,8,10.37,,11.7,8.9,6.4,4,5.6,,13.1,9.87,7.91,3.8934117575,4,30,17
Arizona,Buffalo,2,1.6,4.45,-4,4.37,0.18,0.01,0.92,2.2,3,-1.88,-2.83,-0.97,-5.01,0.06,4.78,-4,1.86,,1.48,7,1,2,,1.5,-1.97,4.09,1.61,-3.18,1.5,1,,-1.7,,,1.31,-3.3,3,,,-7,,11.01,1,4.4,-2.2,2,1.25,-4,-0.28,-0.42,,2.3,-4.4,-4.1,-7,2.5,,4.4,4.4,1,1,6.3,,-4.9,-1.99,0.24,3.0088947999,5,41,17
Baltimore,Tennessee,-2.5,-5.13,3.71,-2,2.52,-1.87,-1,-4.32,1.49,-4,-1.05,-6.06,1.33,-1.08,-4.69,0.9,-2,-1.98,,-2.13,9,-2,-2.5,,1,-8.89,-2.33,-2.78,-4.19,0,2,,-2.3,,,-4.65,-3.6,3,,,-7,,-1.63,-1.99,-5.7,-2.2,-1,-1.34,-5.2,0.82,0.77,,2.9,-4.2,-1.2,-3,-1.7,,-2.6,0.2,-1.9,-2,-0.6,,-12.69,-8.5,-0.68,2.9842078983,5,10,13
Carolina,Kansas City,9.5,14.65,5.89,9,8.36,11.03,11,14.2,15.48,10,9.69,7.09,14.76,11.99,14.42,11.26,11,7,,7,7,12,9.5,,8,10.78,21.05,13.97,13.26,11,3,,17,,,10.43,11.1,8,,,9.2,,8.56,11,17.4,11.6,10,16.35,15.4,6.54,5.15,,-2.1,10.8,12.3,11,19.68,,21.8,10.1,9.6,10,17.8,,15.8,15,7.56,4.6244732501,5,34,0
Dallas,Cincinnati,16,19.25,12.24,15,10.56,14.63,14,16.06,16.17,-2,12.21,14.12,18.24,16.24,18.52,17.02,17,7,,7,-8,13,16,,7,26.1,18.37,13.02,24.67,17,9,,16.9,,,14.33,14.2,9,,,7,,17.89,14.71,19,16.1,12,14.42,15.3,8.47,6.94,,0.2,15.1,25.2,25,17.91,,21.5,12.5,13.1,13.5,15.8,,17.28,16.67,18.06,4.9481710541,5,31,22
Denver,Tampa Bay,3,-0.87,-0.38,2,3.14,-0.08,0.01,1.03,1.15,7,1.75,6.11,1.21,0.8,-6.35,4.29,2,-5,,-5.06,-4,0.01,2.5,,2.5,1.16,-2.8,4.66,-1.06,4.5,-3,,-3.8,,,3.94,-2.5,2,,,-2.79,,2.28,0.01,-6.5,-3,0.01,-2.37,-5.9,2.34,4.91,,2.6,1.5,1.6,-4,-5.86,,-1.8,5.8,1,-0.5,-0.9,,-1.83,-0.4,0.67,3.1927024389,5,16,13
Detroit,Chicago,-3.5,-14.71,-9.92,-8,-9.22,-9.44,-5,-14.79,-9.85,3,-8.04,-7.08,-9.23,-9.46,-22.43,-8.52,-6,-7,,-7,-7,-11,-4.5,,0.5,-10.77,-20.08,-8.4,-6.76,-2.5,-6,,-23.9,,,-13.23,-10,-5,,,-7,,-3.61,-8.02,-18.5,-11.6,0.01,-21.1,-19.8,-4.25,-5.61,,-4.9,-6.5,-4,-10,-26.66,,-22.2,-5,-3.7,-5,-7.6,,-13.21,-14,-5.69,6.342329894,5,7,34
Green Bay,Atlanta,3.5,5.61,3.83,6,13.87,6.64,10,13.95,7.8,7,3.44,12.52,6.91,2.92,7.58,9.12,4,6.88,,6.64,-3,13,4,,6.5,2.57,8.82,8.5,7.62,6,2,,6.7,,,14.84,5.9,3,,,3.63,,1.95,6.64,1.9,6.1,6,6.05,11.4,3.17,5.24,,0.5,8,-2.1,8,6.64,,7.6,3.3,9,8,4.7,,13.95,13.95,12.13,3.6474734666,5,24,27
Houston,Indianapolis,-3,-0.63,1.99,-3,-3.15,-1.81,-4,-5.16,0.94,1,2.16,-6.61,-2.07,-1.37,0.98,0.22,-3,-3.02,,-3.24,-7,-4,-3,,-0.5,-1.52,-0.01,1.75,-1.52,-3.5,-5,,-2.7,,,-4.47,1.1,-7,,,-7,,0.05,-1.8,-5.1,0.6,1,-0.33,2.7,0.06,-6.85,,-3.7,-2.7,-3.9,-6,-2.4,,-0.4,2.1,-0.2,-2.5,-6.2,,-2.4,-3.78,-0.68,2.7348492078,5,27,31
Jacksonville,Pittsburgh,5,0.93,4.24,1,3.39,0.31,3,1.99,1.38,-3,-4.04,1.41,4.6,-3.18,-1.86,-5.69,1,-5.48,,-5.21,-5,3,4,,1.5,4.59,-2.99,3.35,-1.01,3,-3,,-1.4,,,3.04,0.1,2,,,7,,4.35,1.06,-5.4,2.3,2,1.1,2,1.02,2.45,,6.5,2,5.8,-4,-5.7,,-2,-2.8,2.9,2,-1.3,,8.09,5.04,-0.6,2.913085908,5,21,26
Miami,San Diego,-6.5,-3.14,-5.19,-4,-10.93,-4.73,-7,-9.95,-1.04,1,-2.31,-4.95,-0.19,-1.22,-4.94,-7.18,-3,-7.29,,-8.55,-7,-12,-6.5,,-2.5,0.51,-7.14,-6.44,-3.47,-6.5,-12,,-8.7,,,-12.49,-2.7,-4,,,-3.7,,-3.89,-4.47,-6,-1.2,0.01,-4.93,-6.6,0.64,-2.33,,-6.9,-2.2,-12.2,-6,-7.76,,-10.1,-3.8,-3.9,-1.5,0.01,,-8.52,-9.23,1.55,3.5161394119,5,17,10
N.Y. Giants,Seattle,7,18.51,5.97,10,11.43,10.91,9,12.37,13.24,3,8.04,4.14,13.12,13.37,16.84,19.86,11,7,,7,-10,10,7,,4.5,26.56,15.84,12.71,16.95,9,5,,14.9,,,10.64,8.2,8,,,7,,-2.02,10.8,17.8,14.3,6,11.25,13,7.75,5.33,,-1.9,10.6,16.6,17,19.23,,16,3.9,5.9,6,11.8,,15.4,13.88,9.36,5.4291787425,5,44,6
New Orleans,Minnesota,3,9.3,5.7,5,0.31,5.52,4,0.81,8.35,6,6.85,6.32,9.43,7.41,5.67,5.31,4,6.34,,6.3,7,4,3.5,,0.5,12.37,6.36,1.57,7.5,3,8,,7.1,,,0.83,4,6,,,9.18,,1.37,5.82,8.7,5.5,5,7.13,2.4,4.88,4.56,,-1.9,6.5,6.3,7,5.95,,11.1,8.2,4.7,4.5,5.5,,3,1.9,1.18,3.2101217172,5,27,30
Philadelphia,Washington,6.5,-2.8,1.51,3,6.53,3.45,4,6.6,4.73,-1,4.31,9.51,1,8.5,2.09,9.62,5,2.24,,2.92,-6.05,8,6,,3,-11.91,6.11,2.56,-2.24,6,2,,2.8,,,6.34,1.7,7,,,-7,,3.53,3.4,-2.2,-1.5,7,2.58,3.8,5.39,7.23,,1.8,1.9,4.3,3,4.34,,2.9,4.7,5,6,4.1,,-2.99,1.8,0.18,4.2809980074,5,17,23
San Francisco,New England,-3,1.05,-2.05,-4,-14.49,-0.85,-5,-8.99,5.49,-13,-3.33,-7.89,5.62,5.41,2.17,-4.62,1,3.69,,4.06,-7,-10,-3,,-4,-2.1,4.96,-5.08,-4.93,-3,-6,,1.9,,,-15.36,-0.1,5,,,-7,,2.3,-0.55,1.8,-3.9,-2,5.36,1.8,3.75,-9.6,,-14.4,-1,-3.2,-5,4.07,,8.2,8.7,0.1,1,8.1,,-1.23,-5.11,-3.03,6.2462118975,5,21,30
Arizona,Dallas,-5,2.68,5.67,-2,-0.35,-0.44,-3,-5.79,4.16,-4,-0.13,-8.21,0.51,1.49,-1.17,10.69,-1,-0.55,,-0.47,7,-2,-4,,-0.5,4.05,1.21,-2.83,-2,-6.5,-1,2.45,0.31,,0.32,-4.95,-0.4,-1,,,-7,,,-0.56,3.8,-4.5,-2,2.74,-1.4,2.02,-4.88,,7.6,-3.8,-1.9,4,-0.58,,,-2.2,0.8,,-4.2,,-4.87,-5.33,-4.53,3.8904094909,6,30,24
Atlanta,Chicago,-2.5,-2.57,1.65,-3,-10.16,-2.99,-3,-7.53,2.04,6,-3.29,-6.67,3.93,-1.3,-4.38,-1.27,-1,-7.03,,-6.91,-11.47,-7,-2.5,,-1.5,2.91,-8.94,-2.81,-2.41,-1,-1,0.02,-4.29,,-0.88,-8.27,-2.2,3,,,2.47,,,-2.49,-11.7,-4.6,1,-6.54,-7.8,0.61,-5.43,,-0.4,-0.9,-6.5,-4,-6.51,,,2.2,-2.2,,-1.7,,-4.16,-5.84,-0.59,3.9214891425,6,22,20
Cleveland,N.Y. Giants,-7.5,-14.79,-11,-9,-14.19,-8.7,-4,-4.49,-6.08,-1,-8.07,-5.77,-5.73,-14.99,-5.91,-10.64,-11,-9.33,,-8.89,-7,-9,-7.5,,0.01,-23.37,-9.8,-7.92,-9.97,-7,-5,-10.76,-6.99,,-9.16,-2.56,-6.9,-11,,,-7,,,-8.78,-16.7,-10.6,-7,-12.56,-9.4,-6.18,-7.25,,-3,-8.2,-12.2,-11,-8.68,,,-7.3,-3.6,,-12.4,,-9.12,-6.8,-0.49,4.466027527,6,35,14
Denver,Jacksonville,3.5,9.57,4.28,6,3.18,4.92,2,0.17,8.19,-4,7.63,-1.56,6.94,6.81,5.52,12.04,6,7.53,,8.06,-2.23,-2,3.5,,2.5,12.23,7.15,4.55,10.1,3,5,7.74,8.11,,6.92,-0.29,2.8,1,,,9.09,,,5.31,10.4,-0.2,2,5.21,-0.9,4.76,3.59,,5.4,3.1,-1.1,6,7.41,,,7.8,2.3,,10.1,,-0.33,-0.08,2.26,3.8513044298,6,17,24
Houston,Miami,3,-10.5,-4.77,-2,1.71,-2.5,2,3.03,-3.38,3,-2.19,0.29,-2.19,-4.53,-8.29,3.92,-1,-11.37,,-10.85,7,6,2.5,,4.5,-17.09,-6.23,4.62,-8.03,3,-3,-6.56,-9.69,,-6.29,5.59,-4.4,7,,,-7,,,-1.84,-19.3,0.9,2,-9.29,0.6,-1.67,2.15,,9.8,1.7,1.4,-6,-10.4,,,-0.2,1.2,,-7.5,,3.4,3.21,2.38,6.6346345072,6,29,28
Indianapolis,Baltimore,3.5,-0.47,-5.71,3,6.86,0.54,7,6.62,-0.67,3,-4.83,7.37,3.28,-3.43,-2.35,-3.67,1,-6.75,,-6.39,-10.79,9,3.5,,4.5,3.47,-4.51,3.1,0.62,6.5,-3,0.57,-6.59,,0.64,8.19,1.3,-3,,,7,,,0.77,-5.7,0.9,4,-6.19,2.6,0.25,6,,4.5,5.5,-4.2,3,-6.11,,,-2.1,5,,-3.5,,12.01,9.31,2.79,4.5879251735,6,31,3
Minnesota,Detroit,13,19.38,15.84,12,23.69,14.36,16,19.5,15.45,10,9.19,20.06,12.6,11.51,25.77,5.47,15,7,,7,7,18,13,,5.5,17.03,22,15.6,19.71,12,7,14.31,21.31,,16.67,17.89,13.4,10,,,7,,,14.7,16.7,12,9,23.83,24.9,9.15,12.9,,14.4,7.9,8.3,15,26.94,,,10.3,11,,19.6,,16.65,18.07,13.69,5.2951105907,6,12,10
N.Y. Jets,Cincinnati,9.5,13.07,7.65,10,1.43,8.19,7,6.22,8.18,10,7.41,2.86,14.14,9.56,9.05,9.43,10,7.75,,8.21,9.39,7,9.5,,4.5,24.5,7.05,5.96,17.15,7,8,11.05,9.91,,8.54,4.38,7.6,7,,,7,,,7.7,12,10.9,5,6.93,6.2,5.65,5.98,,6.4,8.8,5.7,15,8.22,,,7,5.9,,8.8,,4.62,5.42,8.35,4.2115423797,6,26,14
New Orleans,Oakland,7,8.61,2.46,9,5.06,7.88,9,8.93,8.35,3,6.81,6.1,6.85,7.94,7.51,5.77,6,13.43,,13.47,-7,10,7,,6,5.75,11.67,6.52,10.79,7,3,7,10.21,,8.13,8.99,4.1,3,,,2.83,,,7.45,13.1,10.2,9,11.85,7.4,5.31,3.98,,12.3,6.4,12.4,5,13.71,,,8.9,7.2,,7.7,,15.82,12.38,7.07,2.6086488536,6,34,3
San Diego,New England,5.5,4.58,0.88,1,1.38,4.56,2,4.92,7.71,14,0.38,-0.09,0.33,5.17,8.65,-2.51,4,11.72,,12,8.11,2,5.5,,2,-1.73,10.26,0.63,-0.59,6,8,1.93,8.51,,1.35,3.2,4.1,4,,,-1.86,,,4,10.8,3.4,1,12.91,10,4.19,1.22,,5.1,2.2,8.9,10,12.6,,,7.4,6.3,,10.4,,-0.82,2.05,-1.75,3.7908745975,6,30,10
San Francisco,Philadelphia,-5,-6.22,-7.24,-5,-12.22,-6,-3,-9.66,-2.16,4,-4.83,-9.35,3.78,-2.72,-13.3,-5.5,-3,-11.7,,-12.02,0.75,-7,-5,,-5,-1.55,-11.82,-3.26,-5.45,-5,-2,-2.5,-6.69,,-2.72,-10.38,-5.1,-3,,,-7,,,-5.05,-20.4,-6.7,-5,-9.85,-11.1,-0.23,-7.24,,-1.5,-2.3,-4.6,-9,-13.52,,,-2.8,-1.9,,-13.6,,-2.93,-6.3,-3.41,4.4733160924,6,26,40
Seattle,Green Bay,1,-7.08,-0.9,-2,-5.24,-3.32,0.01,-6.01,-0.58,7,-2.68,-3.15,3.79,-3.53,-10.94,-11,1,-13.87,,-7,-7,-2,0,,-1.5,-3.97,-11.24,-1.11,-4.27,-1,-1,-3.2,-5.59,,-2.17,-5.91,-2,4,,,-7,,,-2.98,-15.4,-0.9,2,-8.35,-3.8,-1.05,-4.49,,9.3,-0.5,-3,-7,-16.92,,,0.01,1.8,,-7.1,,0.1,-2.95,-3.86,4.7811509832,6,17,27
Tampa Bay,Carolina,1.5,-0.25,-0.09,-0.25,1.34,1.23,3,2.87,3.88,-4,-0.95,-1.82,5.34,-0.92,1.79,4.81,1,0.85,,0.96,-11.45,2,1.5,,1,-0.44,-0.05,0.98,-1.09,3,-2,1.42,2.81,,0.08,3.75,0.3,4,,,-1.7,,,1,-1.7,4.7,5,1.68,-2.4,1.22,2.91,,9.1,4.7,1.5,3,-0.06,,,-2,3,,-4.9,,-0.58,1.15,3.25,2.545520059,6,27,3
Washington,St. Louis,13,29.77,23.32,17,27.32,20,16,25.15,20.75,7,13.16,23.45,18.95,16.32,37.29,16.5,16,7,,7,7,20,13.5,,7.5,30.77,32.72,21.91,32.38,15,4,24.42,27.91,,23.95,23.56,19.7,10,,,7,,,19.33,29.2,16.9,14,33.89,31.5,12.41,11.11,,24,15.1,18.9,24,41.14,,,13.3,14.2,,14.4,,32.14,28.65,15.42,7.4634627309,6,17,19
Buffalo,San Diego,1,4.76,3.51,2,-2.98,-0.27,-2,-5.71,3.27,6,1.81,-4.35,8.85,2.16,-5.88,2.31,2,-4.87,,-5.06,14.45,-8,1,-2.11,1.5,12.25,-1.25,1.03,0.01,-2,-7,4.57,-1.87,-2.6,3.5,-3.49,-2.1,4,-6.05,11.04,11.09,,,-0.16,-4.4,3.3,0.01,-4.85,-9.3,-0.16,3.73,7.95,3.6,4.3,-2.1,2,-5.69,7.76,,-1.2,1.8,-0.5,-3.4,,1.76,-1.98,4.19,4.7117446627,7,23,14
Carolina,New Orleans,3,7.22,-1.13,5,0,2.78,1,3.36,6.18,3,2.5,-0.82,8.33,1.94,3.31,2.06,5,3.12,,3.84,29.68,-1,3,2.61,3,10.43,3.77,4.54,8.56,3,-3,4.3,3.13,3.5,3.39,4.07,1.5,6,2.37,31.6,6.83,,,3.12,1.5,4.6,3,2.2,-3,3.41,4.93,8.07,6.1,6.6,-3.9,3,4.91,30.96,,-0.8,1,-5,-2,,6.3,4.83,3.43,5.2580645437,7,30,7
Chicago,Minnesota,3,6.81,3.14,6,6.7,6.72,2,6.27,11.58,7,9.06,7.29,5.51,8.62,8.24,6.73,5,11.92,,12.1,-2.31,7,3.5,13.84,-0.5,4.48,9.87,4.65,5.42,3.5,9,3.81,9.43,7.9,5.03,6.35,5.5,7,10.73,-3.24,3.9,,,6.81,10.2,3.6,3,10.06,10.8,8.72,7.23,1.23,3.5,3.7,3.5,9,12.79,-3.5,,4.9,5.2,8.5,0.9,,2.36,4.32,1.73,3.3702534084,7,48,41
